symbol,m1_nopep,m2_nopep,m3_nopep,m4_nopep,m1_onexpep,m2_onexpep,m3_onexpep,m4_onexpep,m1_multipep,m2_multipep,m3_multipep,m4_multipep,m5_multipep
Plod2,0.0855930146,0.1505881691,0.0904460846,0.099418881,0.6718635989,0.4847622157,0.5820031224,0.3059062275,1.5657103794,1.195036871,1.0686785377,1.0880197436,1.0458363406
Pik3ap1,0.0567390945,0.091404269,0.0809284865,0.0765580001,0.4694388158,0.6276209191,0.6471847417,0.1813441693,0.7991876024,0.9262681489,0.8276160307,1.1033655183,1.0346260757
Tbkbp1,0.2004247073,0.228424985,0.2420441848,0.1335363422,0.8970385412,0.9251576263,1.081162452,0.6192560419,0.9222747528,0.7903324538,1.0922285558,1.2109464928,0.9076582914
Irgm2,1.8806514074,1.8532163804,2.028537551,1.9696197043,4.9412204378,4.2328642155,5.7227707135,6.7092024324,1.3630726761,1.1769718021,1.3452506261,1.6153316851,1.8788583248
Unc93b1,0.4174588432,0.4944785842,0.5528553643,0.3583266311,1.4269988683,2.0518242793,2.4243361895,1.5810821149,1.3555024641,1.0471346672,1.7732855381,1.6672543448,1.8982071636
Plcb4,0.03924697,0.0584671235,0.0324699236,0.0564084482,0.0112682213,0.0129628218,0.0104172279,0.0135694482,0.0083942091,0.0154432822,0.0078935037,0.0082318104,0.012230831
Actr3b,0.0276810658,0.0351850115,0.0361862657,0.026396907,0.0861159677,0.0792132831,0.0990494877,0.0850894814,0.097707958,0.1495466764,0.1071709862,0.1229022291,0.1438039872
NA,0.1110035985,0.1822350635,0.1459843046,0.151466561,0.3998886783,0.7185860495,0.7445054192,0.4004771494,0.9639286285,1.3328161355,1.1549945889,1.2579483421,1.3647333488
Setbp1,1.2365531691,3.1717555474,1.1048657703,1.806356113,0.2651575194,0.2490940431,0.2055474157,0.3772605465,0.2034446898,0.398136945,0.161807197,0.37289016,0.3283125933
Gzmb,2.281581907,5.5618162383,3.9709701485,2.3523500397,28.6541583415,91.0568463935,75.3195338107,14.863925622,715.885954238,640.0315466331,876.1572545741,526.0208969713,352.6226434833
Dapk2,0.1266724523,0.1857800763,0.1213807857,0.1079927025,0.714030124,0.5548927141,0.6763795268,0.4239657766,0.05338762,0.0808470214,0.05624998,0.0348977392,0.0520780655
NA,0.1547113629,0.2562822926,0.1768289831,0.2742383499,0.0576833616,0.038828805,0.0451711272,0.069971616,0.0327590316,0.0265070096,0.0295418237,0.0188861016,0.0339654851
